url,average_position,url_count,weight,weighted_position,performance_score,best_practices_score,accessibility_score,seo_score
https://wygodnyrower.pl/serwis/serwis-rowerowy-warszawa/,1,100,1,1,0.95,0.96,0.79,0.92
https://3gravity.pl/pl/,2.04,100,1,2.04,0.81,0.96,0.95,1
https://www.centrumrowerowe.pl/sklep-rowerowy-warszawa/,3.08,100,1,3.08,0.66,1,0.75,1
https://skleprowerowy.pl/,4.16,100,1,4.16,0.56,0.96,0.8,1
https://warszawa.naszemiasto.pl/serwisy-rowerowe-w-warszawie-lista-warsztatow-gdzie-mozna-naprawic-rower-lub-zrobic-jego-przeglad/ar/c15p1-21631935,5.69,100,1,5.69,0.71,0.74,0.96,1
https://sklep-naszosie.pl/,6.36,100,1,6.36,0.89,0.96,0.75,0.92
https://beatbike.pl/,6.61,100,1,6.61,0.77,0.96,0.75,0.92
https://sportset.pl/,8.24,100,1,8.24,0.79,0.78,0.76,1
https://wygodnyrower.pl/aktualnosci/%F0%9F%91%8Bnowy-sklep-i-serwis-wygodnyrower-bielany/,8.7676,99,0.99,8.8562,0.91,0.96,0.83,0.83
https://www.rowerywarszawa.pl/,10.34,100,1,10.34,0.56,0.96,0.81,1
https://www.decathlon.pl/serwis-rowerowy-warszawa_lp-2FZRI2,11.01,100,1,11.01,0.93,0.96,0.84,1
https://sprint-rowery.pl/serwis-rowerowy-warszawa,11.99,100,1,11.99,0.81,1,0.6,0.73
https://www.bybikes.pl/pl/c/SERWIS/38,13.25,100,1,13.25,0.88,0.85,0.74,0.92
https://sklep-naszosie.pl/serwis-rowerowy-warszawa/,14.08,100,1,14.08,0.95,0.96,0.79,0.92
https://antymateria.com/sklep-i-serwis-rowerowy-zdziechowskiego/,16.16,100,1,16.16,0.63,1,0.9,1
https://kross.eu/pl/sklepy-i-serwisy-rowerowe-warszawa-mazowieckie,18.29,100,1,18.29,0.69,0.96,0.6,0.67
https://trirent.pl/245-serwis-rowerowy-warszawa-mokotow,19.05,100,1,19.05,0.85,0.89,0.9,0.92
https://mobilnyserwisrowerow.pl/,19.61,100,1,19.61,0.97,1,0.91,0.92
https://bike-project.pl/serwis-rowerowy-Bemowo,19.68,100,1,19.68,0.81,0.7,0.77,0.92
https://alltheway.pl/content/52-serwis-rowerowy-warszawa,20.58,100,1,20.58,0.76,1,0.82,1
https://travelbike.pl/,21.36,100,1,21.36,0.76,0.74,0.81,0.75
https://marceli.waw.pl/,23.31,100,1,23.31,0.75,0.96,0.84,0.92
https://ramasport.pl/serwis-rowerowy,23.59,100,1,23.59,0.93,0.96,0.74,0.64
https://www.vuelta.waw.pl/,23.64,100,1,23.64,0.79,0.93,0.88,0.7
https://cykle.com.pl/serwis-rowerowy-warszawa/,23.96,100,1,23.96,0.82,0.96,0.89,0.92
https://justbike.pl/,26.08,100,1,26.08,0.82,0.96,0.74,0.92
https://marceli.waw.pl/sklep-i-serwis-rowerowy-warszawa-goclaw/,29.62,100,1,29.62,0.93,0.96,0.81,0.92
https://www.legion-serwis.com.pl/,29.69,100,1,29.69,0.79,1,0.86,1
https://sport-bike.eu/Serwis-Uslugi/Serwis-rowerowy,30.42,100,1,30.42,0.84,0.89,0.74,0.92
https://www.bybikes.pl/pl/i/KONTAKT/13,32.23,100,1,32.23,0.81,0.85,0.74,0.92
https://www.decathlon.pl/serwis-rowerowy-warszawa-bemowo_lp-VT4BPT,32.33,100,1,32.33,0.93,0.96,0.84,1
https://serwis-rowerowy-bicycle-store.business.site/,33.09,100,1,33.09,0.93,0.96,0.9,0.75
https://www.2kolka.com.pl/serwis.html,29.6781,87,0.87,34.1128,0.98,0.74,0.78,0.73
https://www.koozabikes.com/,34.62,100,1,34.62,0.92,0.96,0.94,1
https://www.bikesalon.pl/serwis-rowerowy-warszawa,35.23,100,1,35.23,0.73,0.96,0.83,1
https://www.bikesalon.pl/,36.64,100,1,36.64,0.8,0.96,0.87,1
https://bike-project.pl/kontakt,17.875,48,0.48,37.2396,0.81,0.7,0.71,0.92
https://rowerowyserwis.com/,38.91,100,1,38.91,0.98,0.74,0.7,0.8
https://profibike.com.pl/,39.2,100,1,39.2,0.86,0.74,0.7,0.73
https://sport-bike.eu/,39.97,100,1,39.97,0.86,0.89,0.68,0.92
https://warszawa19115.pl/-/rowerowa-warszawa-miejski-serwis-rowerowy,42.48,100,1,42.48,0.33,0.93,0.87,0.83
https://cykle.com.pl/,43.55,100,1,43.55,0.82,0.96,0.89,0.91
https://rafbike.pl/,45.02,100,1,45.02,0.87,0.81,0.79,0.83
http://www.jrconceptbikes.pl/,46.02,100,1,46.02,0.83,0.81,0.69,0.92
https://um.warszawa.pl/waw/rowery/-/mobilny-serwis-rowerowy-bezplatny,46.04,100,1,46.04,0.96,1,0.89,1
http://www.mobilnyserwisrowerowy.com/,46.32,100,1,46.32,0.95,0.81,0.81,1
https://um.warszawa.pl/waw/rowery/-/mobilny-serwis-rowerowy,47.34,100,1,47.34,0.96,1,0.89,1
